"fid","parent","gender"
"LZ23-6ZM","GQ58-2YH","Female"
"LZ2S-DJL","LZLZ-84K","Male"
"LZ2S-DJL","MMDM-J2Q","Female"
"LZ4F-G53","L7BR-K58","Male"
"LZ4F-G53","L7BR-KBB","Female"
"LZ4K-BWF","LDF7-LRP","Male"
"LZ4K-BWF","GW3B-X4R","Female"
"LZ66-K4N","L4KV-1FR","Male"
"LZ66-K4N","MF8T-9KF","Female"
"LZ8M-XGY","LTLB-28N","Male"
"LZ8M-XGY","L5JF-K6Y","Female"
"LZBG-MN5","GJB4-8NR","Male"
"LZBG-MN5","GGQY-JDZ","Female"
"LZBL-49J","LH56-JS6","Male"
"LZBL-49J","L51C-7Y5","Female"
"LZDB-H9Y","LH3G-8GQ","Male"
"LZG8-341","GMHV-K3W","Male"
"LZG8-341","MKCV-YF1","Female"
"LZG8-3CX","LCY4-H51","Male"
"LZG8-3CX","L5NW-P4F","Female"
"LZJP-C6Q","DZB4-KFV","Male"
"LZJP-C6Q","LKF5-N3C","Female"
"LZJP-CV9","LZGR-5LC","Male"
"LZJP-CV9","L5YV-GS5","Female"
"LZK7-R6Z","GWNP-GJ8","Male"
"LZK7-R6Z","GH1Q-2BR","Female"
"LZK8-W6R","LNQ7-B97","Male"
"LZK8-W6R","L7DH-GL2","Female"
"LZKX-HGR","L8BV-JM5","Male"
"LZKX-HGR","G2DD-MYZ","Female"
"LZLV-FC3","KL1Z-P21","Male"
"LZLV-FC3","LH2R-7VL","Female"
"LZN6-9LT","LCP8-V18","Male"
"LZN6-9LT","9VK5-HDW","Female"
"LZPD-TZ6","LH6K-4SR","Male"
"LZPD-TZ6","K8K2-3VG","Female"
"LZPX-VW5","9JVC-BJ5","Male"
"LZPX-VW5","LBKD-DLW","Female"
"LZVW-576","9W1T-VGG","Male"
"LZVW-576","LZFW-HTM","Female"
"LZVZ-SXC","LZNP-9KM","Male"
"LZVZ-SXC","LJLF-Z6N","Female"
"LZXG-2LB","LZCT-RFR","Male"
"LZXG-2LB","LZG4-W67","Female"
"LZXR-ZPD","GQRD-B3J","Male"
"LZXR-ZPD","LB68-H9X","Female"
"LZZW-WDR","L1XG-D9V","Male"
"LZZW-WDR","G888-N86","Female"
"M15R-GKM","9KD9-F9T","Male"
"M15R-GKM","LCVH-3YC","Female"
"M1FH-MGC","LT3J-BXN","Male"
"M1FH-MGC","93WR-TBF","Female"
"M1NQ-6H6","GZ78-RN1","Male"
"M1NQ-6H6","GZ3S-N5N","Female"
"M2XF-2S7","LZ6X-TXC","Male"
"M2XF-2S7","LR99-J8V","Female"
"M4P8-FPF","LVJL-486","Male"
"M4P8-FPF","LVJL-4V9","Female"
"M936-S4F","LCYQ-M7Q","Male"
"M936-S4F","LZ25-2N3","Female"
"M95G-5ZY","G2KQ-F7T","Male"
"M95G-5ZY","G2KQ-H3D","Female"
"MBW6-L4N","MBW6-L45","Male"
"MBW6-L4N","MBQW-CDH","Female"
"MC3Z-1ZY","L78G-KDF","Male"
"MC3Z-1ZY","KNCK-546","Female"
"MD98-XCP","MVSB-QZ8","Male"
"MD98-XCP","LCC4-7F4","Female"
"MDS6-T4R","LV7K-8HZ","Male"
"MDS6-T4R","L8BJ-2MB","Female"
"MSJZ-8M9","G92L-4D6","Male"
"MSJZ-8M9","G922-G7S","Female"
"MW4Y-WNW","LBQ3-96B","Male"
"MW4Y-WNW","L5BF-QWZ","Female"
"MYX1-TTH","GX98-BL4","Male"
"MYX1-TTH","GX9D-W7B","Female"
"WB7C-DK6","LVCW-PN5","Male"
"WB7C-DK6","LYYL-XK7","Female"
