"fid","type","year","place"
"G256-FHT","Birth","1090","Brittany, France"
"LHZH-C8X","Birth","1185","France"
"GLQQ-GKP","Birth","1040","Machecoul, 44087, Loire-Atlantique, Pays de la Loire, France"
"GLQ7-DNH","Birth","1040","Thouars, 79329, Deux-Sèvres, Poitou-Charentes, France"
"GL32-8YB","Birth","1043","Les Moutiers-en-Retz, 44106, Loire-Atlantique, Pays de la Loire, France"
"GL32-6MC","Birth","1043","Loire-Atlantique, Pays de la Loire, France"
"LRPM-LT1","Birth","1110",NA
"LRGC-84S","Birth of Child","1140","Brittany, France"
"GDLJ-93X","Birth","1103","Château de Largoët, Elven, Vannes, Morbihan, Bretagne, France"
"G2ZD-NP8","Birth","1110","Guingamp, Brittany, France"
"L6B5-RJR","Birth","1100","Finistère, Brittany, France"
"LZ6R-FT3","Birth","1020","of,Toul,Meurthe-et-Mosel,France"
"KHMR-9Q5","Birth","1020","Toul, Meurthe-et-Moselle, Lorraine, France"
"GV92-9X1","Birth","1050","Traînel, Aube, Grand Est, France"
"GQG3-8QP","Birth","0992","Grandpre,Ardennes,France"
"GGBP-JCF","Birth","1045","Chaumont-en-Vexin, Oise, Picardie, France"
"GW95-GZF","Birth","1050",", Puiset, Eure-et-Loir, France"
"GGBP-JZQ","Birth","1068","Chaumont, Haute-Marne, Champagne-Ardenne, France"
"GGBP-XQD","Birth","1070",NA
"G994-99J","Birth","1058","Melitene, Armenia"
"GJ8G-C73","Birth","1067","Malatya, Malatya merkez, Malatya, Turquie"
"LHJT-54T","Birth","1043","Constantinople, Constantinople, Turkey, Turkey"
"LB2M-VD2","Birth","1045","Constantinople, Constantinople, Turkey"
"LZ58-RJZ","Birth","1080","İstanbul, Turquia"
"934V-4HC","Birth","1082","Constantinople, Constantinople, Turkey, Turkey"
"GGXQ-92Z","Birth",NA,"France"
"G2WD-RT5","Birth","1013","França"
"G27H-GXD","Birth","1035","França"
"GGZT-2GG","Birth","0992","Beaumont-Sur-Oise,Normandy,West Franks."
"GL7R-NJ4","Birth","0946","Clisson, Nantes, Loire-Atlantique, Pays de la Loire, France"
"GXVL-R86","Birth","1030","Montjean-sur-Loire, Maine-et-Loire, Pays-de-la Loire, France"
"GXVL-T19","Birth","1040","Chênehutte-Trèves-Cunault, Maine-et-Loire, Pays-de-la-Loire, France"
"GC4V-VJM","Birth","1019","Vendôme, Loir-et-Cher, Centre-Val de Loire, France"
"L1R3-Y8J","Birth","1030","La Tour-du-Pin, Isère, Rhône-Alpes, France"
"GQVQ-4RZ","Birth","1030","Fouvent, France"
