"fid","type","year","place"
"9WCZ-311","Birth","1270","Cardiganshire, Wales, United Kingdom"
"G6M4-6C3","Birth","1300","Cardiganshire, Wales, United Kingdom"
"9SMM-WFC","Birth","1300","England"
"GL3B-KPM","Birth","1303",",England"
"LC89-2TW","Birth","1200","Berwick-upon-Tweed, Northumberland, England"
"GMJ9-8XW","Birth","1210","Nettlestead, Suffolk, England"
"9CXH-S7R","Birth","1214","Stonham Aspall, Suffolk, England"
"KLGD-YDG","Birth","1231","Little Cressingham, Norfolk, England"
"L2J5-GV6","Birth","1232","King's Lynn, Norfolk, England"
"L2R1-JN2","Birth","1235","Grande-Bretagne"
"LCR1-GSY","Birth","1235","London, England"
"GW4Z-J11","Birth of Child","1280","Middlesex, England"
"GW4Z-NY5","Birth of Child","1280","Middlesex, England"
"GNM6-5F2","Birth","1245","Lancaster, Lancashire, England"
"G2XK-WM4","Birth","1246","Lancaster, Lancashire, England, United Kingdom"
"LBV7-R4N","Birth","1270","Beckhamefield, Buckingshire, England"
"LBVW-3FF","Birth","1270",NA
"G4ZX-SFT","Birth","1280",NA
"LZ21-B4W","Birth","1284","Turnberry Castle, Carrick, Ayrshire, Scotland"
"946X-7Z3","Birth","1286","Carrick, Argyle, Scotland"
"GLWZ-ZH4","Birth","1263","Carrick, Ayrshire, Scotland"
"GHNZ-2V8","Birth","1280","Clackmannanshire, Scotland"
"9ZZ1-LQY","Birth","1300","Devon, England"
"G9MM-84L","Birth","1300","Holway, Somerset, England"
"GFNN-VT7","Death",NA,NA
"G61S-P6J","Birth","1255","Arkel, Giessenlanden, South Holland, Netherlands"
"GL2Z-Y1S","Birth","1255","Heukelum, , Holland, Netherlands"
"29W4-NG6","Birth","1237","Oostvoorne, South Holland, Netherlands"
"GX2D-X4T","Birth","1240",NA
"G7G7-TWS","Birth","1250",NA
"GWQC-PSC","Birth","1255","Virneburg, Adenau, Rhineland, Prussia, German Empire"
"LZJH-LX9","Birth","1257","Grave, North Brabant, Netherlands"
"GVPT-WC1","Birth","1221","Bar-le-Duc, Meuse, Duchy de Lorraine, Holy Roman Empire"
"GSS1-XRF","Birth","1231","Toucy,Yonne,Bourgogne,France"
"LCR7-FW4","Birth","1325","Cheshire, England, United Kingdom"
"GNHW-2QC","Birth","1323","Bechton Newman, Cheshire, England"
"G3PH-814","Birth","1295","Scrivelsby Manor, Scrivelsby, East Lindsey district, Lincolnshire, England, United Kingdom"
"GDVM-VNR","Birth","1299","Ivybridge, South Hams district, Devonshire, England, United Kingdom"
"G98D-CNT","Birth","1312","Honiton, Devonshire, England"
"G2ZP-D5P","Birth","1326",NA
"G8WQ-S71","Birth","1317",NA
"LVMW-JSW","Birth","1300","Thurland Castle, Lancashire, England"
"9FQD-K78","Birth","1300","Yorkshire, England"
"9FQD-K7X","Birth","1297","Southeby, Yorkshire, England"
"LBMZ-BXW","Birth","1315","Marden, Kent, England"
"LBMZ-5JQ","Birth","1288","Marden, Kent, England"
"LCPL-9DM","Birth","1341","England"
"LCPL-9XR","Birth","1347","England, United Kingdom"
"G7R4-KQX","Birth","1380","Hythe, Kent, England"
"GXGW-1ML","Birth","1200",NA
"K4TP-8VQ","Birth","1225","Penegoes, Powys, Wales"
"97HB-XWK","Birth","1265","Cegidfn, Caernarvon, Wales"
"L7NX-TYC","Birth","1287","Acton Scott, Church Stretton, Shropshire, England, United Kingdom"
"L7NX-TTC","Birth","1291","Acton Scott, Church Stretton, Shropshire, England, United Kingdom"
"G6NC-YSV","Birth","1237","Frodesley, Shropshire, England"
"LTYM-N8M","Birth","1216","Powys,Wales"
"L2QT-JWT","Birth","1335","Crossland, Yorkshire, England"
"GLQ4-HY5","Birth","1340","England"
"GGRS-K27","Birth","1220","Sweden"
"GGRS-XRJ","Birth","1220",NA
"9HGY-52X","Death of Parent","1261",NA
"M366-VQT","Birth",NA,"Sweden"
"L4P9-6FF","Death","1289","Sweden"
"GGSG-7BP","Birth","1190",NA
"M3HT-YRK","Birth","1208","Östergötland, Sweden"
"MNJQ-QVV","Birth of Child","1237",NA
"M4LZ-YNF","Birth of Child","1237",NA
"LCC8-9JT","Birth","1215","Vinstorpa, Skaraborg, Sweden"
"LCCD-32F","Birth","1225","Vinstorpa, Skaraborg, Sweden"
"MDTX-M6C","Death",NA,NA
"MDTX-MD1","Death",NA,NA
"L1WF-52J","Death",NA,NA
"LYGL-6HN","Death",NA,NA
"27NL-NBL","Death",NA,NA
"GDNX-HRW","Death",NA,NA
"LT8D-H6K","Death",NA,NA
"MJHV-1KX","Birth",NA,"Sweden"
"G9SZ-D21","Birth",NA,"Sweden"
"GD6T-R2S","Birth","1189","Östergötland, Sweden"
"G46L-1W8","Death",NA,NA
"GH1N-F51","Death",NA,NA
"LC37-9RS","Birth",NA,"Sweden"
"GVYL-NVJ","Death",NA,NA
"MMF4-Z4F","Birth","1228",NA
"MLWN-6WC","Birth",NA,"Sweden"
"9MLQ-RGH","Marriage","1253",NA
"LJL5-DQ9","Marriage","1244",NA
"MDTK-JSZ","Death",NA,NA
"K46R-GHD","Death",NA,NA
"GXL7-GNQ","Death",NA,NA
"GVP2-2PD","Birth","1220",NA
"GGV4-3K7","Birth","1215","Europe"
"MCGQ-6J4","Birth","1192","Ostergotland, Sweden"
"MJF1-Z4M","Death",NA,NA
"K2T8-Q1B","Birth","1230","Denmark"
"MDZR-MVN","Birth","1196","Steinburg, Schleswig-Holstein, Germany"
"MDZR-MKH","Birth","1200",NA
"KCXD-K1P","Birth of Child","1228","Viborg, Denmark"
"KZ24-XX4","Birth of Child","1228","Viborg, Denmark"
"K42J-4NV","Birth","1244","Salzwedel, Altmarkkreis Salzwedel, Saxony-Anhalt, Germany"
"LV71-72L","Birth","1247","Salzwedel, Altmarkkreis Salzwedel, Saxony-Anhalt, Germany"
"LD56-ZF6","Birth of Child","1290","Bregninge, Bregninge, Ærø, Svendborg, Denmark"
"2Z34-JHQ","Birth of Child","1290","Bregninge, Bregninge, Ærø, Svendborg, Denmark"
"9C7W-291","Birth","1260","Näsbyholm Castle, Skurup, Skåne, Sweden"
"LWL1-G1D","Birth","1245","Stolpe, Altenkrempe, Ostholstein, Schleswig-Holstein, Germany"
"GH31-SPX","Birth","1279","Lith, Lith, North Brabant, Netherlands"
"GH3B-5CJ","Birth","1285","'s-Hertogenbosch, s-Hertogenbosch, North Brabant, Netherlands"
"LYZ6-ZY2","Birth","1290","Middelrode, North Brabant"
"L56V-HJZ","Birth","1290","Netherlands"
"G6JW-DYN","Birth","1295","Nederland, of Belgie"
"GG9M-Y4B","Birth","1275",NA
"GCQ9-7FJ","Birth","1312","Netherlands"
"GQNS-V9S","Birth","1314","Noord-Brabant, Nederland"
"MWGX-YZ5","Birth",NA,"Sweden"
"KNWB-YRQ","Death of Parent","1347","Sweden"
"GGSD-YR5","Birth","1200","Sweden"
"GGSD-3HM","Birth","1200","Sweden"
"KL6D-28G","Birth","1208","Of Runby, Ed, Stockholm, Sweden"
"KNVW-C6N","Birth","1210",NA
"LH78-GQN","Birth","1190","Spurila, Pyhämaa, Turku Pori, Finland"
"LJR3-DHP","Birth","1200","Spurila, Pyhämaa, Turku Pori, Finland"
"GLSK-F25","Birth","1235","Gyle, Finland"
"GLSV-GQF","Birth","1235","Finland"
"L8BT-6FX","Birth","1230","Finland"
"GFM7-YKS","Birth","1235","Finland"
"G7D6-FXM","Birth","1270","Sweden"
"G7DX-L2B","Birth","1285","Sweden"
"GLHF-1DS","Birth","1260","Hallstahammar, Västmanland, Ruotsi"
"GLHN-D6L","Birth","1260",NA
"GLHN-DQK","Birth","1275",NA
"GZDD-DPP","Death",NA,NA
"KCST-HM9","Birth","1375","Greifswald, Vorpommern-Greifswald, Mecklenburg-Vorpommern, Deutschland"
"MJDM-P9G","Birth","1384","Greifswald, Vorpommern-Greifswald, Mecklenburg-Vorpommern, Deutschland"
"LLHC-JV2","Birth","1394","Greifswald, Vorpommern-Greifswald, Mecklenburg-Vorpommern, Deutschland"
"KJCR-L22","Birth","1394","Greifswald, Vorpommern-Greifswald, Mecklenburg-Vorpommern, Deutschland"
"GFQ3-CBL","Birth","1385","Greifswald, Greifswald, Mecklenburg-Vorpommern, Germany"
"GLHM-FNW","Birth","1387","Greifswald, Greifswald, Mecklenburg-Vorpommern, Germany"
"LTHW-BTV","Birth","1160","Scotland"
"G92M-5J2","Birth","1160","Scotland"
"9W5Y-6V4","Birth","1280","Richmond, Yorkshire, England"
"9W5Y-6VP","Birth","1300","Scotland"
"GDMR-FX7","Birth","1320","Hermiston, Midlothian, Scotland"
"G61N-KQ5","Birth","1177","Closeburn, Dumfriesshire, Scotland"
"G3C2-7GH","Birth","1210","Scotland"
"LVYX-8S6","Birth","1243","Annandale District, Dumfriesshire, Scotland"
"KJP8-74R","Birth","1247","Annandale District, Dumfriesshire, Scotland"
"GLVS-LKK","Birth","1250","Scotland"
"GLVS-RFF","Birth of Child","1275","Scotland, United Kingdom"
"L2W7-KYC","Birth","1240","Langton, Berwickshire, Scotland"
"L2W7-299","Birth","1230","Scotland"
"K1T8-C3S","Birth","1248",NA
"LV66-125","Birth","1248",NA
"GZKY-K66","Birth","1232","Linton, Roxburghshire, Scotland"
"29WW-2KB","Birth","1234","Carnwath, Lanarkshire, Scotland"
"GFB1-W2P","Birth","1240","Gilmerton, Midlothian, Scotland"
"LCZR-K9H","Birth","1245","Scotland"
"LRKW-Y76","Birth","1282","Kingston Lisle, Berkshire, England"
"G2KT-3BR","Birth of Child","1305","Renfrewshire, Scotland"
"G7H9-V2V","Birth","1174","Ayrshire, Scotland, United Kingdom"
"G82C-PVB","Birth","1176","Polkelly, Ayrshire, Scotland"
"GQL7-FRJ","Birth","1115","Altyre, Morayshire, Scotland"
"9MT8-HNV","Birth","1122","Tynsdale, East Lothian, Scotland"
"MT98-RGS","Birth","1136","Of,Moray,Scot"
"MT98-R5K","Birth","1140","Of,Moray,Scot"
"GXKF-NFB","Birth","1143","Menteith, Rusky, Perthshire, Scotland"
"GKW6-N11","Birth","1160","Scotland"
"GVF1-9BY","Birth","1222","Edmundiston,Cambusnethan, Lanarkshire, Scotland"
"L2ST-ZT1","Birth","1210","Wester Powrie, Forfar, Angus district, Angus, Scotland"
"GKGD-WL5","Birth","1247","Scotland, United Kingdom"
"L2T7-FHT","Birth","1257","Argyll, Scotland"
"GVFZ-GNS","Birth","1257","Argyll, Scotland, United Kingdom"
"G8Y9-8YS","Birth","1250","Ireland"
"GJBM-8DP","Birth","1243","Perthshire, Scotland, United Kingdom"
"GJBM-2J3","Birth","1245","Inchture, Perthshire, Scotland, United Kingdom"
"LVN1-4Z6","Birth","1265","Lochore, Fife, Scotland, United Kingdom"
"L6QN-NZD","Birth","1270","Scotland"
"GVQD-DFX","Birth",NA,"Johnstone, Dumfriesshire, Scotland"
"9HY9-HRF","Birth","1270","Dumfriesshire, Scotland"
"9HY9-HRW","Birth","1270","Scotland"
"GN74-B4Z","Birth","1300","Dumfriesshire, Scotland"
"GN7C-G1Z","Birth","1292","Berwickshire, Scotland, United Kingdom"
"GN7C-L85","Birth","1300","Berwickshire, Scotland, United Kingdom"
"GGKQ-NTC","Birth","1121",NA
"9WWL-HYB","Birth","1135","Grentemesnil, Calvados, Basse-Normandie, France"
"GCQ2-58K","Birth","1220","Faunes, Berwickshire, Scotland"
"GJLV-5S2","Birth","1234","Aberdeenshire, Scotland"
"94LK-ZWV","Birth","1218","Strathbogie, Banffshire, Scotland"
"GZRM-VLS","Birth","1220","Atholl, Perthshire, Scotland"
"L5RQ-RGF","Birth","1220","Chilham Castle, Kent, England"
"L89Z-L7B","Birth","1215","Angus, Scotland"
"GQ79-PLQ","Birth","1155","Leslie, Aberdeenshire, Scotland"
"L1M8-5J6","Birth","1170","Ergadia, Argyll, Scotland"
"GC2H-64G","Birth","1161","Humbie, Haddingtonshire, Scotland"
"GCMR-9MJ","Birth","1166","Humbie, East Lothian, Scotland"
"GLSS-K6R","Birth","1150","Clydesdale, Douglasdale, Hermiston, Midlothian, Scotland"
"GLLT-9J2","Birth","1152","Midlothian, Scotland"
"GMVS-CTT","Birth","1165","Stirlingshire, Scotland"
"LT41-S65","Birth","1170","Scotland"
"GCFR-TQL","Birth","1165","Scotland"
"94K1-6N8","Birth","1152","Dunbar Castle, East Lothian, Scotland"
"L8MB-8V4","Birth","1164","Haddington, Haddingtonshire, Scotland"
"LK4V-C5J","Birth","1167","Raby, Durham, England"
"L5FS-QQC","Birth","1160","Horsford, St. Faith's, Norfolk, England"
"LT9H-G8M","Birth","1210","Stranith, Dumfriesshire, Scotland"
"GGWC-947","Birth","1214","Scotland, United Kingdom"
"LJLG-523","Birth","1185","Boharm, Morayshire, Scotland"
"G4TJ-2R6","Birth","1195","Scotland"
"LZ86-YT5","Birth","1218","Callander, Stirlingshire, Scotland"
"G649-CZB","Birth","1188","Cadder, Lanarkshire, Scotland"
"L13Z-4VT","Birth","1190","Stirlingshire, Scotland"
"G65D-WMJ","Birth","1221","Birth Place: Egmond aan Zee, Bergen Municipality, North Holland, Netherlands"
"L6Y7-FTK","Birth","1232","Brederode, North Holland, Netherlands"
"LHQ1-QY5","Birth","1215","Strijen, South Holland, Netherlands"
"LYSR-GNJ","Birth","1220","Arkel, South Holland, Netherlands"
"G81Y-BC7","Birth","1230","Brederode, Holland, Netherlands"
"LJLT-JW1","Birth","1240","Velsen, North Holland, Netherlands"
"G9VQ-F4L","Birth","1214","Zwartewaal, Brielle, South Holland, Netherlands"
"GZLR-58S","Birth","1223","Holland, Netherlands"
"GNKC-TLM","Birth","1235",NA
"GW26-C6K","Birth","1235","Utrecht, Nederland"
"GLKL-TYQ","Birth","1237","Arkel, South Holland, Netherlands"
"GL2Z-2V8","Birth","1245","Asperen, South Holland, Netherlands"
"LZN2-7KN","Birth","1242","Leiningen, Rhineland-Palatinate, Germany"
"GDCP-82H","Birth","1250","Briey,Meurthe-Et-Moselle,France"
"K1B9-PMM","Birth","1250","Urach, Urach, Württemberg, Deutschland"
"GDVG-Z3L","Birth","1252","Urach, Oberamt Urach, Württemberg, Deutschland"
"GDVG-Z1D","Birth","1227","Arensfels, Rheinland, Palatine, Germany"
"LZ48-V5L","Birth","1230","Blieskastel, Zweibrücken, Palatinate, Bavaria, Germany"
"GGZN-VT4","Birth","1260",NA
"G2YW-2ZN","Birth","1260","Holland, Netherlands"
"G6KY-2TC","Birth","1280","Oostvoorne, South Holland, Netherlands"
"GL2Z-NP9","Birth","1280","Veere, , Zeeland, Netherlands"
"LC8M-TVS","Birth","1215","Geldern, Rhineland, Prussia, German Empire"
"LBKR-VZW","Birth","1214","Aumale, Seine-Maritime, France"
"GCZ8-V1R","Birth","1225",NA
"GGSY-W6F","Birth","1225",NA
"GLD1-Y62","Birth","1220","Sittard, Limbourg, Pays-Bas"
"GVJG-SF6","Birth","1250","Europa"
"GLD1-5LT","Birth","1220","Blieskastel, Saar-Pfalz-Kreis, Territoire du Bassin de la Sarre, Allemagne"
"L5JV-3TX","Birth","1222","Holy Roman Empire"
"LT6B-9J2","Birth","1214",NA
"L6BY-96P","Birth","1225","Molsberg, Westerwaldkreis, Rheinland-Pfalz, Germany"
"GMS2-16P","Birth","1227",NA
"G9ZL-2K4","Birth","1226","Herzogtum Kleve, Heiliges Römisches Reich"
"GS3C-3WT","Birth","1240","Heinsberg, Kreis Heinsberg, Nordrhein-Westfalen, Deutschland"
"GXX2-JHB","Birth","1227","Laufenburg, Aargau, Schweiz"
"G3WH-86S","Birth","1256","Kyburg, Zürich, Switzerland"
"GDVG-HCC","Birth","1187","Jülich, Germany"
"LXWS-78P","Birth","1192",NA
"LDMJ-KZ9","Birth","1185","Zutphen, Gelderland, Nederland"
"KNC1-9VV","Birth","1192","Leuven, Flemish Brabant, Belgium"
"LDZN-HVT","Birth","1231","Brabant-sur-Meuse, Meuse, Lorraine, France"
"LDZN-HLC","Birth","1233","Bourgogne, France"
"GLWS-WQY","Birth","1235","Vierzon, Cher, Centre-Val de Loire, France"
"G6TT-7GR","Birth","1235","France"
"G6FL-4TH","Birth","1226",NA
"GNCB-9M7","Birth","1204","Lipperode, Lipperode-Cappel, Lippe, Germany"
"GX92-WS5","Birth","1212","Arnsberg Deutschland"
"GVSX-722","Birth","1293","Lyon, Rhône, Rhone-Alpes, France"
"GVSX-72F","Birth","1287","Duché de Bourgogne, Bourgogne"
"GNL5-GHT","Birth","1206","Kelheim, Lower Bavaria, Germany"
"G2FX-739","Birth","1201","Rheinfelden, Aargau, Switzerland"
"GHTP-3WT","Death of Parent","1240",NA
"GKWY-4H2","Death",NA,NA
"GJJ8-52Z","Birth","1175","Kilmaurs, Ayrshire, Scotland"
"G3JP-LNR","Birth","1176","Scotland"
"GS5W-DGX","Birth","1185","Ireland"
"LCJX-48P","Birth","1140","Paisley, Renfrewshire, Scotland"
"GG8Z-VQ4","Birth","1145","Carrick, Ayrshire, Scotland"
"L8MB-CRD","Birth","1154","Forfar, Forfarshire, Scotland"
"LB5S-FN5","Birth","1152","Caithness, Scotland"
"LDM5-XY6","Birth","1168","Morven, Argyll, Scotland"
"LZD1-8MR","Birth","1174","Wigtownshire, Scotland"
"G9ZD-CW1","Birth","1205","Scotland"
"G6W1-8MJ","Birth","1205","Scotland, United Kingdom"
"G6F6-WXD","Birth","1202","Wemyss, Fife, Scotland"
"GDL7-CVD","Birth","1209","Wemyss, Fifeshire, Scotland"
"GVF2-7Q2","Birth","1210","Lochore, Fife, Scotland"
"G2DZ-9R3","Birth","1210",NA
"GDCL-9MQ","Birth","1224","Lothian, Scotland, United Kingdom"
"GDCL-C26","Marriage","1249","Lothian, Scotland, United Kingdom"
"G64M-4WT","Birth","1212","Melville, Midlothian, Scotland"
"G2LH-J9B","Birth","1217","Murthokston, Dumfries and Galloway, Scotland, United Kingdom"
"LKV4-TQX","Birth","1222","Kirkcaldy, Fife, Scotland"
"GGVC-SPY","Birth","1250","Ruthven, Perthshire, Scotland"
"GMXV-5HP","Birth","1274","Logie, Fife, Scotland"
"GMXV-5CS","Birth","1278","Scotland"
"L29L-DH6","Birth","1255","Dundee City, Scotland"
"L29L-DGG","Birth","1275","Glassary, Argyll, Scotland"
"L5GD-VV6","Birth","1260","Lochow, Argyllshire, Scotland"
"GQNK-1W5","Birth","1275","Scotland"
"GQN2-MWT","Birth","1280","Argyll, Scotland"
"GJTT-2KQ","Birth","1226","Weston under Lizard, Staffordshire, England, United Kingdom"
"GX16-85G","Birth","1284","Perth, Perthshire, Scotland"
"GX16-CPZ","Birth","1273","Seton, East Lothian, Scotland"
"GV63-VTT","Birth","1263","Scotland"
"29QN-74W","Birth","1265","Chillingham, Northumberland, England, United Kingdom"
"M4F2-7W7","Birth","1245","Norbury, Cheshire, England"
"MVVH-WZF","Birth","1247","England"
"KZS5-D36","Birth","1255","Stavelegh, Cheshire, England"
"L13Z-HPY","Birth","1259",NA
"G3MB-1SZ","Birth","1265","Worsley, Lancashire, England"
"MF8C-9GC","Birth","1276","Manchester, Lancashire, England"
"9CWS-S66","Birth","1245","Haigh, Lancashire, England"
"G3S7-CYW","Birth","1240","Bromley, Staffordshire, England"
"LH6D-CYK","Birth","1232","Osbaldeston, Blackburn, Lancashire, England"
"GM7T-6DM","Birth","1250","Cheshire, England"
"LZX6-PC1","Birth","1282","Kingsley, Cheshire, England"
"LZX6-PZM","Birth","1293","Kingsley, Cheshire, England"
"L4WP-3KJ","Birth","1271","Lancashire, England"
"GVSS-JDR","Birth","1273","Lancashire, England"
"MMHH-8P7","Birth","1262","Orrell Hall, Wigan, Lancashire, England, United Kingdom"
"GKYX-9B2","Birth","1260","Orrell Hall, Wigan, Lancashire, England, United Kingdom"
"GD56-BHL","Birth","1275","Charnock, Lancashire, England"
"GD56-BP5","Birth","1272","England, United Kingdom"
