"fid","place_birth_lat","place_birth_lon","place_birth","place_death_lat","place_death_lon","place_death"
"GNBB-5LX","52.6914","-0.6325","Exton, Rutland, England","52.69","-0.633","Exton, Rutland, England, United Kingdom"
"GMP6-X5V","53.1","-0.2","Tattershall, Lincolnshire, England","52.69","-0.633","Exton, Rutland, England, United Kingdom"
"GWB9-FJV","52.0628","1.15851","Ipswich, Suffolk, England, United Kingdom",NA,NA,NA
"GWB9-4PW","52.4379","-1.6496","England, United Kingdom",NA,NA,NA
"GN77-NQM","51.85229","0.61466","Essex, Suffolk, England","52.2751","1.0653","Suffolk, England"
"GN77-QV3","52.1358","1.0228","Barking, Suffolk, England","52.4379","-1.6496","England"
"GVCX-VY6",NA,NA,NA,NA,NA,NA
"937J-3QQ","52.33022","-3.76641","Wales",NA,NA,NA
"937D-ZRJ","51.88278","-3.99639","of Llwyn Morgan,Llandeilo Fawr,Carmarthenshire,Wales",NA,NA,NA
"93QS-PJ5","53.26667","-3.16667","of Bagillt,Flint,Flintshire,Wales",NA,NA,NA
"GXX2-2JS","53.26667","-3.16667","Bagillt, Flintshire, Wales",NA,NA,NA
"GG97-5WG","53.27085","-3.22727","of, Treffynnon, Flintshire, Wales","52.33022","-3.76641","Wales"
"GG97-BFG","52.33022","-3.76641","Wales",NA,NA,"Deceased"
"LQ5C-FSG","53.33333","-3.83333","Gloddaith, Caernarfonshire, Wales",NA,NA,NA
"LZBX-3PY","53.33333","-3.83333","Gloddaith, Caernarfonshire, Wales","52.33022","-3.76641","Wales"
"L6CP-GX5","53.21667","-4.1","Llandygai, Caernarvonshire, Wales","51.86109","-4.92292","Pembrokeshire, Wales"
"LVDZ-3GQ","52.35","-0.85","Althorpe Castle, Northamptonshire, England","54.9624","-1.8476","Prudhoe, Northumberland, England"
"93Q9-2GW","53.29127","-4.37203","of,Talybolion cmt,Anglesey,Wales",NA,NA,NA
"93QM-7QP","52.5629","-3.1492","of,Mochnant Uwch Rh,Montgomeryshire,Wales",NA,NA,NA
"93QM-7T9","52.59558","-3.73248","of,Darowen,Montgomeryshire,Wales",NA,NA,NA
"937J-Q2G","51.93055","-3.40545","Brecon St David - Lower Division, Breconshire, Wales",NA,NA,NA
"937J-Q29","52.33022","-3.76641","Wales",NA,NA,NA
"GFGK-G5H","51.548","-2.3509","Little Sodbury, Gloucestershire, England","51.5467","-2.3506","Little Sodbury, Gloucestershire, England, United Kingdom"
"GFGK-5QP","52.64306","-2.71362","Stanford, Shropshire, England","51.7311","-0.7012","The Lee, Buckinghamshire, England"
"GSFY-85F","52.7079","-2.7544","Stanford, Shrewsbury, Shropshire, England","52.7079","-2.7544","Stanford, Shrewsbury, Shropshire, England"
"GQXQ-3B7","55.83","-3.083","Midlothian, Scotland","55.9361","-3.2141","Merchiston, Edinburgh, Midlothian, Scotland"
"GGC7-6M9",NA,NA,NA,NA,NA,NA
"GGC7-4NC","56.01667","-4.58333","Balloch Castle, Loch Lomond, Dumbartonshire, Scotland","56.1181","-3.9378","Stirling Castle, Stirling, Stirlingshire, Scotland"
