"fid","ascendancy"
"L2MP-G2G",321565
"GJ6L-HZ2",321567
"G6W1-GLQ",321616
"G6W1-N9J",321617
"GL71-GJ8",321620
"K2XK-78P",321621
"GQC4-VKQ",321622
"L14R-1VT",321648
"L2MP-G2G",321649
"L632-MRQ",321656
"L632-MBT",321657
"L4JH-TBT",321658
"MS12-W5H",321659
"G7V3-K77",321728
"LR52-R2H",321729
"MBVL-3FL",321730
"L8PF-PDC",321731
"LVDG-WJP",321732
"GKTQ-SD4",321733
"KZPJ-VC3",321734
"LT63-CSK",321735
"GDPZ-HDP",321740
"LH6L-6HW",321741
"GSXY-W3Y",321742
"G8ZP-RD3",321743
"GJWG-LJT",321752
"GJHJ-XL2",321753
"9ZWK-B6M",321780
"9ZWK-B69",321781
"G64X-33N",321784
"G64X-WCY",321785
"LKBF-TXS",321786
"G8H3-XZM",321787
"GK18-NTC",321788
"LYD8-L5P",321824
"MDBQ-NXG",321825
"KZPS-QPL",321826
"KNS8-S6F",321827
"G2BQ-RCP",321836
"GFNW-5KQ",321837
"LYD8-L5P",321856
"MDBQ-NXG",321857
"KZPS-QPL",321858
"KNS8-S6F",321859
"G2BQ-RCP",321868
"GFNW-5KQ",321869
"GML2-PGN",321892
"GML2-PWF",321893
"G2ZN-38V",321894
"G2Z5-SLL",321895
"GKDK-1ZY",321898
"GKD2-YBQ",321899
"G8FR-M71",321912
"G8F5-1Q3",321913
"G8FR-795",321914
"G8FR-QMF",321915
"L2LW-YXW",321916
"MMPB-WW2",321917
"K8BK-ZHD",321918
"KHHR-S1K",321919
"GML2-PGN",321924
"GML2-PWF",321925
"G2ZN-38V",321926
"G2Z5-SLL",321927
"GKDK-1ZY",321930
"GKD2-YBQ",321931
"G8FR-M71",321944
"G8F5-1Q3",321945
"G8FR-795",321946
"G8FR-QMF",321947
"L2LW-YXW",321948
"MMPB-WW2",321949
"K8BK-ZHD",321950
"KHHR-S1K",321951
"2DX2-FP6",321968
"2D6G-XSD",321969
"LBP8-8N7",322048
"933P-WTC",322049
"LL92-YM6",322050
"GSFT-88P",322051
"MTYX-C36",322052
"M6YF-58V",322053
"GZHR-HDW",322432
"GZHR-MB8",322433
"GJRY-F5F",322436
"LKN4-3ZN",322437
"L1WZ-CL6",322438
"LZV1-DKH",322439
"GWYV-7H6",322816
"GWYV-ZL2",322817
"GWYV-KXL",322818
"GWYV-6FW",322819
"KFP2-8K5",322820
"KZC6-KBG",322821
"KHX8-TMR",322822
"MF5K-GVJ",322823
"GLVZ-2JV",322826
"LRB9-1M3",322828
"G6V3-WFD",322829
"L1J8-KH1",322830
"L1J8-CZ7",322831
"LJ5B-HNV",322946
"L5DW-2PW",322947
"9CM3-HFJ",322948
"L14G-BQW",322949
"GSW8-RS5",322950
"GSW8-Y5X",322951
"GSJP-X6W",322952
"GS2K-WFB",322953
"937C-6ZZ",322954
"GSZJ-YBM",322955
"G8S6-K1N",322956
"L2X2-6WR",322957
"L11Q-717",322958
"GLXM-93N",322959
"LBZQ-4Q8",322960
"GLVL-XFH",322961
"G3BK-WKB",322962
"LBZQ-5XH",322963
"9W1B-J6S",322964
"LZX5-V2T",322965
"KXP3-VTS",322966
"G299-GBL",322967
"LH16-VGD",322968
"LVL7-NHM",322969
"MXN3-5GJ",322970
"LRQW-K89",322971
"LBNZ-GBF",322972
"LBNZ-YZ1",322973
"LBM4-9GT",322974
"L5BC-D1G",322975
"G93Q-9D8",323008
"G93Q-JQH",323009
"GSN1-DYB",323328
"GQCW-88G",323329
"GX63-CJB",323330
"LZFB-3YV",323331
"L2TT-G51",323334
"L2TT-G14",323335
"G2XW-QWD",323336
"GF1J-5T8",323338
"GSTQ-S4B",323339
"G4HR-QMN",323340
"GHJ6-RV3",323341
"GKWG-S38",323360
"G88L-GXN",323361
"KC1G-TL5",323364
"GGVZ-PSZ",323365
"LV42-QKH",323536
"GXDG-97M",323537
"GFF1-KPN",323538
"LYB1-GPY",323539
"GF53-L19",643072
"G6HJ-L1L",643073
"LK9G-HSD",643074
"LK9G-H3M",643075
"GF1C-6M6",643108
"GF1C-QWK",643109
"G32V-K96",643110
"GF1C-K3R",643111
"LZRK-DMT",643112
"LZRK-DSS",643113
"G9L9-29J",643114
"G9YK-LGF",643115
"GS7K-Q9X",643116
"LH14-SHH",643117
"GDZM-84V",643118
"GQ27-G8R",643119
"L14R-RBD",643128
"L14R-1KC",643129
"LYHT-JBH",643130
"G747-QYC",643131
"GQN9-KFW",643134
"GQN9-SQC",643135
"LHQ1-DD9",643240
"LKVK-V1C",643241
"L812-KHF",643242
"LVTV-KJH",643243
"L14R-RBD",643296
"L14R-1KC",643297
"LYHT-JBH",643298
"G747-QYC",643299
"G947-YF7",643312
"L1C9-N82",643313
"GMHV-7MT",643316
"G6QB-T6R",643317
"9ZCS-FSH",643318
"LC5W-HZR",643319
"L8PF-T5L",643456
"LCXG-GR9",643457
"GSJ1-96P",643458
"KZJR-MDR",643459
"G8D2-SBZ",643460
"L8PF-TTG",643461
"LH1M-V8W",643462
"G8YF-TC9",643463
"GD4P-R6J",643464
"G87Z-71F",643465
"LY9B-8KR",643466
"LY7C-S8D",643467
"LVDT-5X5",643468
"K4F4-GKQ",643469
"G3W4-GJ7",643470
"G8SF-3ZD",643471
"GD2C-F5C",643480
"G955-M3T",643481
"93DJ-SD7",643482
"LVJG-4ZD",643483
"9C3T-8NY",643484
"9ZCD-NZB",643485
"L193-TX7",643486
"G84C-3XG",643487
"GZY1-D9S",643568
"LKBF-TBK",643572
"LKBF-YC9",643573
"LC8T-4N5",643648
"GXGM-XHR",643649
"GJMD-LFL",643650
"LV8D-LM3",643651
"LHQM-1KT",643652
"GSXH-NLX",643653
"MMY8-Z3Y",643654
"MMY8-ZQC",643655
"LC8T-4N5",643712
"GXGM-XHR",643713
"GJMD-LFL",643714
"LV8D-LM3",643715
"LHQM-1KT",643716
"GSXH-NLX",643717
"MMY8-Z3Y",643718
