"ascendency","id","gender","gen"
7036,"LTH9-3K5","Male",13
7037,"G93D-2Z4","Female",13
7038,"GLD9-RF6","Male",13
7039,"GF14-8PR","Female",13
7120,"LHX8-PZW","Male",13
7121,"L11S-5GG","Female",13
7124,"LH56-F8D","Male",13
7125,"KNB6-1XT","Female",13
7136,"LJRC-LBT","Male",13
7137,"GQW1-BVS","Female",13
7138,"LRSG-4G7","Male",13
7139,"LX3Y-ZR4","Female",13
7144,"L2NR-96K","Male",13
7145,"GS3J-VXN","Female",13
7146,"LYWZ-67C","Male",13
7147,"LR34-7MK","Female",13
7188,"GV7Q-5NC","Male",13
7189,"GV7Q-VNJ","Female",13
7190,"9FDP-FP8","Male",13
7191,"MWMR-TZB","Female",13
7192,"LT6N-YQP","Male",13
7193,"LDMP-5DJ","Female",13
7194,"GS5Y-5BR","Male",13
7195,"GXNK-782","Female",13
7200,"GL8P-ZTL","Male",13
7201,"GN2S-S4Q","Female",13
7202,"GLQ9-HBM","Male",13
7203,"GLQ9-N24","Female",13
7208,"LK45-S6S","Male",13
7209,"LDBH-XWF","Female",13
7210,"KPDP-HPW","Male",13
7211,"GDS9-PKQ","Female",13
7212,"LJP3-BFG","Male",13
7214,"LHN9-DP6","Male",13
7215,"LZXT-DMX","Female",13
7236,"27CC-7NW","Male",13
7237,"99H5-6S1","Female",13
7238,"99WH-WYF","Male",13
7239,"93WJ-W32","Female",13
7240,"L4SD-9P9","Male",13
7241,"LCRN-HG7","Female",13
7242,"LC58-5BW","Male",13
7243,"LVF1-FQC","Female",13
7244,"LZF3-YSF","Male",13
7245,"G3FH-Z7Y","Female",13
7246,"LRYF-MJN","Male",13
7247,"LTSD-YTG","Female",13
7248,"MTDG-2WT","Male",13
7249,"LH1D-GQT","Female",13
7252,"K6S9-WRQ","Male",13
7253,"K8CY-ZVR","Female",13
7254,"KHG3-6LY","Male",13
7255,"GLFF-83H","Female",13
7256,"LZN7-DXZ","Male",13
7257,"9M6R-HDZ","Female",13
7258,"G786-2KJ","Male",13
7259,"G2MB-7KH","Female",13
7264,"GGPQ-9MV","Male",13
7265,"L5K1-TS4","Female",13
7266,"MJZN-F5S","Male",13
7267,"9HLS-K82","Female",13
