"QID","fs","article"
"Q155375","LCZ2-KTR","https://en.wikipedia.org/wiki/Archibald_Hill"
"Q155394","LZ6M-3ZN","https://en.wikipedia.org/wiki/Paul_of_Greece"
"Q155525","LCRW-KVD","https://en.wikipedia.org/wiki/C%C3%A9sar_Milstein"
"Q155649","LYVV-SDL","https://en.wikipedia.org/wiki/Richard_Holbrooke"
"Q75814","GMVZ-PY5","https://en.wikipedia.org/wiki/Wilhelm_Wundt"
"Q75845","974M-72V","https://en.wikipedia.org/wiki/Friedrich_Wilhelm_Bessel"
"Q75866","GFX2-GZ5","https://en.wikipedia.org/wiki/Rudolf_Hess"
"Q83158","LCC8-YW9","https://en.wikipedia.org/wiki/Jean_Cocteau"
"Q83297","LZGX-B13","https://en.wikipedia.org/wiki/John_William_Strutt,_3rd_Baron_Rayleigh"
"Q105167","LK46-KYK","https://en.wikipedia.org/wiki/Tom_Clancy"
"Q105719","MVG5-VYZ","https://en.wikipedia.org/wiki/Jean_Harlow"
"Q105721","MPGS-J9H","https://en.wikipedia.org/wiki/William_Candidus"
"Q105721","M5K7-TFX","https://en.wikipedia.org/wiki/William_Candidus"
"Q105721","K88F-X9B","https://en.wikipedia.org/wiki/William_Candidus"
"Q128985","LH3Y-KH4","https://en.wikipedia.org/wiki/Harold_Macmillan"
"Q128995","L71K-RGT","https://en.wikipedia.org/wiki/Anthony_Eden"
"Q155669","MTX7-TCP","https://en.wikipedia.org/wiki/Charles_IV,_Holy_Roman_Emperor"
"Q155781","G3ZC-6K1","https://en.wikipedia.org/wiki/Louis_N%C3%A9el"
"Q155794","LH26-78G","https://en.wikipedia.org/wiki/Hans_Bethe"
"Q76185","G5GW-ZPN","https://en.wikipedia.org/wiki/Adolfo_Hohenstein"
"Q76343","L84Z-2B4","https://en.wikipedia.org/wiki/Otto_von_Habsburg"
"Q76346","L44M-VM9","https://en.wikipedia.org/wiki/Mileva_Mari%C4%87"
"Q83338","LNSV-WKS","https://en.wikipedia.org/wiki/Robin_Williams"
"Q105830","LC2H-S4F","https://en.wikipedia.org/wiki/Baruch_Samuel_Blumberg"
"Q105976","LJKP-NVB","https://en.wikipedia.org/wiki/Princess_Cecilie_of_Prussia"
"Q106077","LVTL-YF9","https://en.wikipedia.org/wiki/Lady_Godiva"
"Q106221","GMZB-X8C","https://en.wikipedia.org/wiki/James_Horner"
"Q129006","27SD-CY1","https://en.wikipedia.org/wiki/Clement_Attlee"
"Q129087","KL73-1BG","https://en.wikipedia.org/wiki/Ethel_Merman"
"Q129155","9S99-314","https://en.wikipedia.org/wiki/Roger_Martin_du_Gard"
"Q155822","L7LL-LWL","https://en.wikipedia.org/wiki/Sophia_of_Prussia"
"Q155824","LCVM-L3D","https://en.wikipedia.org/wiki/Juscelino_Kubitschek"
"Q155845","LTZY-1ZG","https://en.wikipedia.org/wiki/Chinua_Achebe"
"Q76351","MHD3-2MZ","https://en.wikipedia.org/wiki/August_Grisebach"
"Q76356","GQQD-1JM","https://en.wikipedia.org/wiki/Hans-Georg_Gadamer"
"Q76410","KCFH-D8V","https://en.wikipedia.org/wiki/Leopold_Kronecker"
"Q76432","MMV9-H8G","https://en.wikipedia.org/wiki/Rudolf_Virchow"
"Q83396","21R5-FL3","https://en.wikipedia.org/wiki/Eleanor_Roosevelt"
"Q83476","L8MB-ZF7","https://en.wikipedia.org/wiki/Alfred_the_Great"
"Q106255","GQW3-SZS","https://en.wikipedia.org/wiki/Jean-Paul_Belmondo"
"Q106481","L2H8-5VG","https://en.wikipedia.org/wiki/Alan_Rickman"
"Q106618","KHS9-BR6","https://en.wikipedia.org/wiki/Henry_Campbell-Bannerman"
"Q129247","93RN-C7J","https://en.wikipedia.org/wiki/Edward_III_of_England"
"Q129258","GMHC-31N","https://en.wikipedia.org/wiki/Dinah_Sheridan"
"Q129308","LBYQ-Z26","https://en.wikipedia.org/wiki/John,_King_of_England"
"Q155855","9QG8-JCP","https://en.wikipedia.org/wiki/Karel_%C4%8Capek"
"Q155907","KLF8-Y6T","https://en.wikipedia.org/wiki/Sir_George_Stokes,_1st_Baronet"
"Q76483","LHB5-TWT","https://en.wikipedia.org/wiki/Rainer_Maria_Rilke"
"Q76508","L8WW-HGR","https://en.wikipedia.org/wiki/Emmanuel_Philibert,_Duke_of_Savoy"
"Q83526","MVJ4-GBW","https://en.wikipedia.org/wiki/Blanche_Whiffen"
"Q83552","G321-KT8","https://en.wikipedia.org/wiki/Alexander_Prokhorov"
"Q83557","G321-6CX","https://en.wikipedia.org/wiki/Nikolay_Basov"
"Q106733","G3M5-Y54","https://en.wikipedia.org/wiki/Jerome_Karle"
"Q106738","GWF9-F6Q","https://en.wikipedia.org/wiki/John_B._Fenn"
"Q106740","9FPJ-7B1","https://en.wikipedia.org/wiki/Dorothy_L._Sayers"
"Q129429","LZ4G-MBK","https://en.wikipedia.org/wiki/Vivien_Leigh"
"Q129741","9WPV-TBQ","https://en.wikipedia.org/wiki/Martin_W._Littleton"
"Q129746","L2W7-X1T","https://en.wikipedia.org/wiki/Kay_Petre"
