"maxasc","fid","QID","article","name","lifespan","birth_country"
369337121,"G2XP-662","Q234805","https://en.wikipedia.org/wiki/B%C3%B6rte","Great Empress Börte Üjin Khatun of the Mongols","1162 - 1230","Mongolia"
369337318,"LCPG-8Q9","Q41628","https://en.wikipedia.org/wiki/John_II_Komnenos","Komnēnos-házi II.Iōannēs Bizánci császár","1087 - 1143","Turkey:North"
372268547,"GKY8-XCD","Q235418","https://en.wikipedia.org/wiki/Joan_of_England,_Queen_of_Sicily","Joan of England Queen of Sicily","1165 - 1199","France"
402850050,"9HV2-NRT","Q246812","https://en.wikipedia.org/wiki/Sweyn_II_of_Denmark","King Svend II Estridsen of Denmark","1019 - 1076",NA
402851235,"LHK3-V3V","Q422315","https://en.wikipedia.org/wiki/Agnes_of_Aquitaine,_wife_of_Ramiro_II_of_Aragon","Agnes of Aquitaine, wife of Ramiro II of Aragon, Queen consort of Aragon House of Poitiers","1100 - 1159","France"
402851264,"998F-RYD","Q519641","https://en.wikipedia.org/wiki/William_I,_Count_of_Burgundy","Guillaume Ier duc de Bourgogne","1020 - 1087","France"
402851266,"L8T2-WP2","Q235080","https://en.wikipedia.org/wiki/Alfonso_VI_of_Le%C3%B3n_and_Castile","Alfonso VI de Galicia Rey de Castilla y Leon","1040 - 1109","Spain"
404762832,"LD13-Q7V","Q149674","https://en.wikipedia.org/wiki/Niklot","Niklot of the Obotrites","1090 - 1160",NA
404764172,"933H-W94","Q250731","https://en.wikipedia.org/wiki/Prince_%C3%81lmos","Árpád-házi Álmos Magyar herceg","1068 - 1127","Hungary"
405219382,"LBTD-DM3","Q333346","https://en.wikipedia.org/wiki/Robert_I,_Count_of_Flanders","Robert Ier comte de Flandre","1035 - 1093","France"
405219729,"LDS9-GGV","Q2733546","https://en.wikipedia.org/wiki/Judith_of_Brittany","Judith de Bretagne duchesse consort de Normandie","0982 - 1017","France"
405219734,"LD9R-RB7","Q178918","https://en.wikipedia.org/wiki/Robert_II_of_France","Robert II le Pieux roi de France","0972 - 1031","France"
405219740,"KNXX-WBQ","Q188684","https://en.wikipedia.org/wiki/Edmund_Ironside","Edmund Ironside King of England II","0988 - 1016","UK:Great Britain"
405219742,"LDMT-HMZ","Q188943","https://en.wikipedia.org/wiki/Yaroslav_the_Wise","Yaroslav Volodymyrovich ""The Wise"" Grand Prince of Kyiv and Novgorod","0978 - 1054","Ukraine"
405219743,"LD91-ST3","Q2332287","https://en.wikipedia.org/wiki/Ingegerd_Olofsdotter_of_Sweden","Anna Ingegred Olofsdotter av Sverige Grand Princess of Kyiv","1001 - 1050","Sweden"
413140328,"LDQ1-TMR","Q470862","https://en.wikipedia.org/wiki/Rhodri_Mawr","King Rhodri ap Merfyn Frych of Wales and the Britons","0820 - 0878","UK:Great Britain"
413143445,"LDSS-LKR","Q2543933","https://en.wikipedia.org/wiki/%C3%85sta_Gudbrandsdatter","Åsta Astrid Gudbrandsdatter of Uplands, Queen of Norway","0970 - 1020","Norway"
413143498,"GQMG-Y4W","Q7114254","https://en.wikipedia.org/wiki/Owain_ap_Hywel_(Glywysing)","King Ynyr ab Owain of Gwent","0890 - 0935","UK:Great Britain"
413143512,"GGWF-6J3","Q6524419","https://en.wikipedia.org/wiki/Leofwine,_Ealdorman_of_the_Hwicce","Leofwine Ealdorman of the Hwicce","Unknown - 1023",NA
439353778,"LB5R-TH8","Q41381","https://en.wikipedia.org/wiki/Richard_III,_Duke_of_Normandy","Richard III duc de Normandie","1001 - 1027","France"
445514123,"MWBC-XS5","Q3139023","https://en.wikipedia.org/wiki/Hodierna_of_Gometz","Hodierna de Gometz-La-Ferte","1004 - 1074","France"
448272187,"GWSZ-G12","Q64231","https://en.wikipedia.org/wiki/Adelaide_of_Meissen","Adelheid von Meissen Queen of Bohemia","1160 - 1211","Germany"
471384615,"LB23-RVZ","Q275998","https://en.wikipedia.org/wiki/Adelaide_of_Susa","Adelaide di Susa","1014 - 1091","Italy"
471384622,"LDSV-P4D","Q152256","https://en.wikipedia.org/wiki/Conrad_II,_Holy_Roman_Emperor","HRE Konrad II, Römisch-Deutscher Kaiser","0990 - 1039","Germany"
477889024,"LZJH-C1Z","Q244403","https://en.wikipedia.org/wiki/Macbeth,_King_of_Scotland","Mac Bethad Mac Findláich King Of Scotland","1005 - 1057","UK:Great Britain"
492683265,"GGDM-LG1","Q272111","https://en.wikipedia.org/wiki/Elvira_of_Castile,_Queen_of_Sicily","Elvira de Castile Queen of Sicily","1100 - 1135","Spain"
533299248,"LVFM-L6F","Q354309","https://en.wikipedia.org/wiki/William_Cecil,_1st_Baron_Burghley","Sir William Cecil","1520 - 1598","UK:Great Britain"
688478356,"999Y-LF2","Q159597","https://en.wikipedia.org/wiki/Harold_Godwinson","King Harold II of England","1020 - 1066","UK:Great Britain"
706568709,"9HYH-BLK","Q272390","https://en.wikipedia.org/wiki/Gruoch","Lady Gruoch mi Boedhe Queen of Scots","1013 - 1057","UK:Great Britain"
738225533,"L5JX-B7B","Q179284","https://en.wikipedia.org/wiki/Anna_Komnene","Princesa Bizantina Ana Comneno Doukaina","1083 - 1153","Turkey:North"
738357724,"LD9R-5PH","Q2435462","https://en.wikipedia.org/wiki/William_of_Bell%C3%AAme","Guillaume I de Bellême","0970 - 1028","France"
738674638,"GQ1X-99J","Q26486","https://en.wikipedia.org/wiki/Ladislaus_I_of_Hungary","Árpád-házi I.Szent László Magyar király","1046 - 1095","Poland"
744523620,"L1HP-N3L","Q3180366","https://en.wikipedia.org/wiki/Lope_D%C3%ADaz_I_de_Haro","Lope Díaz I de Haro","1107 - 1170","Spain"
805702468,"9HLX-GWL","Q545470","https://en.wikipedia.org/wiki/Garc%C3%ADa_Ord%C3%B3%C3%B1ez","Conde Caballero Garcia Ordoñez de Aza Y de Nájera","1050 - 1108","Spain"
805702538,"MSZC-Z12","Q203792","https://en.wikipedia.org/wiki/Robert_Guiscard","Roberto ""Giscardo"" de Hauteville","1015 - 1085","France"
809528326,"LBLP-Q79","Q311351","https://en.wikipedia.org/wiki/B%C3%A9la_I_of_Hungary","King Béla I Árpád-házi of Hungary","1016 - 1063","Austria"
809532374,"L193-QYW","Q298298","https://en.wikipedia.org/wiki/G%C3%A9za,_Grand_Prince_of_the_Hungarians","Géza Grand Prince of the Hungarians","0945 - 0997","Slovakia"
810439428,"9QZD-J5R","Q712580","https://en.wikipedia.org/wiki/Geoffrey_I,_Count_of_Anjou","Geoffroy Ier 'Grisegonelle' comte d'Anjou","0938 - 0987","France"
810439458,"LZGK-GZB","Q456955","https://en.wikipedia.org/wiki/Conan_I_of_Rennes","Conan Ier de Rennes duc de Bretagne","0944 - 0992","France"
810439462,"LZ19-924","Q332136","https://en.wikipedia.org/wiki/Malcolm_II_of_Scotland","King Malcolm II of Scotland","0958 - 1034","UK:Great Britain"
810439468,"LD9R-RYR","Q159575","https://en.wikipedia.org/wiki/Hugh_Capet","Hugues Capet roi des Francs","0941 - 0996","France"
810439480,"LHPZ-9WQ","Q183499","https://en.wikipedia.org/wiki/%C3%86thelred_the_Unready","Æthelred 'the Unready' King of England","0968 - 1016","UK:Great Britain"
810439484,"L8BY-3VJ","Q14974","https://en.wikipedia.org/wiki/Vladimir_the_Great","Volodymyr I  the Great Volodymr Svyatoslavich Prince of Novgorod Grand Prince of Kiev","0960 - 1015","Ukraine"
826280656,"L172-TT3","Q886414","https://en.wikipedia.org/wiki/Merfyn_Frych","Merfyn ""Frych the Freckled"" ap Gwriad","0795 - 0844","UK:Great Britain"
889550618,"9S9P-HNZ","Q811187","https://en.wikipedia.org/wiki/Baldwin_FitzGilbert","Baldwin FitzGilbert de Meules , Visc of Devon","1039 - 1091","France"
942769230,"2Z98-QKN","Q2161868","https://en.wikipedia.org/wiki/Ulric_Manfred_II_of_Turin","Olderico Manfredi II marchese di Torino e Susa","0978 - 1034","Switzerland"
1476715448,"L187-NYR","Q4195447","https://en.wikipedia.org/wiki/Yves_de_Creil","Ives de Creil","0940 - 0997","France"
1476749662,"L1N6-1SG","Q333884","https://en.wikipedia.org/wiki/Bohemond_II_of_Antioch","Bohemond II de Hauteville Prince of Antioch","1107 - 1131","Turkey"
1489047270,"L24D-QGB","Q2874964","https://en.wikipedia.org/wiki/Aimery_II_of_Narbonne","Aimery II de Narbonne Vicomte de Narbonne","1083 - 1134","France"
1611406400,"LD9P-Q15","Q272498","https://en.wikipedia.org/wiki/Brian_Boru","Brian Bóruma Mac Cennétig High King of Ireland","0941 - 1014","Ireland"
1620878912,"9HRG-JDL","Q313017","https://en.wikipedia.org/wiki/William_Longsword","Guillaume 'Longue-Épée' Comte de Rouen","0893 - 0942","France"
1620878936,"LCRR-KM2","Q317933","https://en.wikipedia.org/wiki/Hugh_the_Great","Hugues 'le Grand' duc des Francs","0898 - 0956","France"
1885538883,"L8W6-443","Q40061","https://en.wikipedia.org/wiki/Emma_of_Normandy","Emma de Normandie","0985 - 1052","France"
2953430886,"LZXX-FT2","Q201041","https://en.wikipedia.org/wiki/Harald_Bluetooth","Harald Gormsen","0906 - 0987","France"
3241757824,"LZDH-NFR","Q273773","https://en.wikipedia.org/wiki/Rollo","Rollo de Normandie comte de Rouen","0860 - 0932","Norway"
3241757825,"LD9C-ZGZ","Q463626","https://en.wikipedia.org/wiki/Poppa_of_Bayeux","Poppa de Bayeux","0872 - 0930","France"
3241757922,"L8MB-ZF7","Q83476","https://en.wikipedia.org/wiki/Alfred_the_Great","Aelfred I or Ælfræd  ""the Great"" van Engeland van Wessex","0849 - 0899","UK:Great Britain"
5454231626,"LD91-95X","Q4171758","https://en.wikipedia.org/wiki/George,_son_of_Andrew_I_of_Hungary","Árpád-házi I. András Magyar király","1013 - 1060","Hungary"
6476258992,"GZH2-42J","Q210207","https://en.wikipedia.org/wiki/%C3%81rp%C3%A1d","Árpád Grand Prince Of The Hungarians","0845 - 0907","Hungary"
6483515416,"LHXT-LR1","Q1367604","https://en.wikipedia.org/wiki/Rognvald_Eysteinsson","Ragnvald 'de vise' Eysteinsson Jarl av Møre","0825 - 0894","Sweden"
6483515744,"L4SB-2FB","Q433440","https://en.wikipedia.org/wiki/Robert_the_Strong","Robert le Fort marquis de Neustrie comte de Tours et Anjou","0830 - 0866","France"
7883219011,"LVTL-YF9","Q106077","https://en.wikipedia.org/wiki/Lady_Godiva","Godiva or Godgifu","0980 - 1067","UK:Great Britain"
8016736567,"LQ5H-F6D","Q205359","https://en.wikipedia.org/wiki/Ermentrude_of_Orl%C3%A9ans","Ermentrude d'Orléans Reine des Francs","0823 - 0869","France"
12891251349,"GZB6-SZ9","Q22083954","https://en.wikipedia.org/wiki/Land_ingen_D%C3%BAngaile","Lann ingen Dúngaile - Queen of Ireland","0810 - 0890","UK:Great Britain"
12967031392,"99QT-S75","Q317457","https://en.wikipedia.org/wiki/Causant%C3%ADn_mac_Cin%C3%A1eda","King Constantin mac Cináeda","0836 - 0877","UK:Great Britain"
12967031444,"LDSH-HB3","Q919247","https://en.wikipedia.org/wiki/Eberhard_of_Friuli","Markgraf Eberhard von Friaoul","0810 - 0866","Germany"
16033473124,"LZT6-KB5","Q43974","https://en.wikipedia.org/wiki/Louis_the_Pious","Ludwig 'der Fromme' König der Franken Römischer Kaiser","0778 - 0840","France"
