"fid","batch"
"K8PJ-8HT",1
"K8V7-GRH",1
"K8QL-79Y",1
"LB88-PJ4",1
"LZBL-49J",1
"LT3J-JQ7",1
"LT3J-N9K",1
"93R2-71L",1
"93R2-WM7",1
"G8JB-4JR",1
"LZPD-TZ6",1
"LHV9-JKY",1
"KH2X-8DZ",1
"KH38-KWH",1
"LKKM-HKP",1
"MQKV-94Y",1
"LK3T-Q5W",1
"LK3T-7QY",1
"KNMT-233",1
"LTQF-F8P",1
"LRGQ-GZB",1
"LR4P-4QK",1
"99VR-N9X",1
"LV5S-6Q4",1
"LBHW-WLL",1
"MVTH-QBV",1
"LZJP-C6Q",1
"LZJP-CV9",1
"LYGY-XPR",1
"LH5L-JHP",1
"M936-S4F",1
"2YR3-9WH",1
"LRT4-NCT",1
"LC8Q-Y4K",1
"LH6B-T45",1
"LYGX-8SK",1
"LH2J-K3M",1
"L8HV-1V4",1
"LH6B-TJG",1
"LZXG-2LB",1
"LRBT-195",1
"LVDL-6ZL",1
"975Y-VNS",1
"LR1L-ZR4",1
"KL43-Z4G",1
"L6B5-W31",1
"L2YW-H7C",1
"LYBS-GZY",1
"L6QQ-R5B",1
"LDQV-BFV",1
"LZG8-341",1
"LZG8-3CX",1
"9C6H-5QW",1
"MD98-XCP",1
"LCLY-SW8",1
"MXJ2-QJ1",1
"LZ4K-BWF",1
"L2C7-NB2",1
"K872-QWC",1
"KZJS-8G1",1
"9K9R-YXL",1
"G3MX-HN7",1
"LT2W-Y4Y",1
"M1FH-MGC",1
"LZBG-MN5",1
"M2HX-2ZQ",1
"GGQY-VFY",1
"GGQY-L4B",1
"KN35-4D6",1
"KNZR-S8R",1
"L7XP-TB5",1
"LH11-TX4",1
"LB96-FPZ",1
"LB96-Z8Q",1
"L2C5-HJX",1
"LCLY-R44",1
"L5JC-QFG",1
"KNSQ-S2Y",1
"LXS3-FP7",1
"9CGX-RJ1",1
"9CGX-YKZ",1
"LV14-PSP",1
"L5GR-532",1
"M2XF-2S7",1
"L5YT-5B9",1
"LTSB-VDS",1
"M6B9-NKJ",1
"KL1Z-P21",1
"LH2R-7VL",1
"LCP8-V18",1
"9VK5-HDW",1
"LRCB-TVV",1
"LRC1-3M6",1
"LKMD-WD8",1
"LKMD-W61",1
"G8Y9-1P8",1
"MMB4-B4K",1
"KHWJ-XWX",1
"MM2Q-PB3",1
"L2ZW-HF1",1
"GFDQ-FK8",1
"M38T-XFK",1
"M5FC-HF4",1
"L8BV-JM5",1
"G2DD-MYZ",1
"G92L-4D6",1
"G922-G7S",1
"GX98-BL4",1
"GX9D-W7B",1
"LT61-RVZ",1
"GFJB-M98",1
"G2XS-YKX",1
"LRXH-QQT",1
"L6NP-M1F",1
"LCPT-7FB",1
"LYQH-XCW",1
"LCRJ-QLG",1
"LZTD-TKN",1
"MH99-JTW",1
"LZ19-R19",1
"LZPL-X5Y",1
"K8R2-YMP",1
"G3BL-8ZK",1
"K1D1-KPN",1
"LRF8-BJW",1
"L6RK-YWH",1
"LK7C-FCM",1
"G7VG-31P",1
"GGMY-KG4",1
"M4QW-XF8",1
"LCRS-Q5T",1
"93F2-MRS",1
"G3P4-CSP",1
"G95P-D76",1
"LJLW-YFB",1
"LR5W-Y48",1
"GZ78-RN1",1
"GZ3S-N5N",1
"MZ5Z-485",1
"L58F-8TH",1
"MBW6-L45",1
"MBQW-CDH",1
"L6YN-FNW",1
"L62C-CX4",1
"LD1B-6X8",1
"LTTP-7BN",1
"GKZT-Y3V",1
"GKZT-B7J",1
"G75H-SGB",1
"G6FT-3K6",1
"GWNP-GJ8",1
"GH1Q-2BR",1
"GSV3-LDS",1
"GWSD-6JM",1
"LZ2Y-G4M",1
"9V4V-BZ2",1
"GQMW-PWZ",1
"GGFW-Q4J",1
"KG96-W77",1
"GNVZ-N82",1
"LX3R-GDZ",1
"LHR6-R2G",1
"GQRD-GKW",1
"GQSP-FPY",1
"LC2W-BQ8",1
"GQR6-9Z5",1
"GQRD-B3J",1
"LB68-H9X",1
"KJ8X-NGY",1
"LWX6-TXF",1
"MNRR-2MB",1
"LWFP-CP3",1
"LZJF-LKW",1
"M8FK-PFF",1
"MNRT-8HQ",1
"K2J1-B84",1
"LNQ7-B97",1
"L7DH-GL2",1
"L1L5-QSH",1
"KNX6-NDF",1
"LH2K-CD5",1
"GD31-9K6",1
"L1XG-D9V",1
"G888-N86",1
"L4WB-25P",1
"KN1G-XHX",1
"L26L-TSJ",1
"L26L-T6C",1
"LVH6-D64",1
"LHPM-DPT",1
"GHKT-53R",1
"GHKT-PNG",1
"LKPM-9TJ",1
"LR4M-VF8",1
"LZ6K-7NP",1
"L6QR-T3D",1
"LR4M-VDN",1
"GLSN-NFG",1
"LVJZ-YSD",1
"LD98-Z79",1
"GHK1-TNK",1
"GHK1-BWQ",1
"GF9V-VZN",1
"LVZ8-W44",1
"GFT8-D7Q",1
"GW1M-RG9",1
"GW19-DFG",1
"LCMQ-16C",1
"KHHB-HB4",1
"LHXD-XP1",1
"KNDX-F29",1
"LV7K-8HZ",1
"L8BJ-2MB",1
"LZNP-9KM",1
"LJLF-Z6N",1
"L6KF-F5M",1
"LB1M-QH4",1
"LVWW-M3G",1
"LTHR-BF4",1
"2W9V-H9Z",1
"2P4M-8ZS",1
"LTJP-R2B",1
"KN45-N43",1
"GM1G-XC9",1
"L5YG-FFJ",1
"LCDW-TTJ",1
"LCJJ-LWC",1
"KL75-PPK",1
"L5GN-GDX",1
"LTMW-K1B",1
"9CWM-WLB",1
"9KD9-F9T",1
"LCVH-3YC",1
"KCCX-WK8",1
"LV95-Z4C",1
"LTQC-LHQ",1
"LTQC-V2H",1
"L4KV-1FR",1
"MF8T-9KF",1
"LKP3-3DM",1
"LKP3-3X1",1
"KZWW-9TW",1
"GLJB-W7S",1
"G2KQ-F7T",1
"G2KQ-H3D",1
"LVCW-PN5",1
"LYYL-XK7",1
"L2TF-JPF",1
"L68Y-W73",1
"KN6H-9WZ",1
"2JYT-CQF",1
"MM37-JYJ",1
"LC8R-19D",1
"MFGB-DXQ",1
"L8QR-D4S",1
"LY41-WWS",1
"LC35-711",1
"LKKM-4PT",1
"M1H8-LPQ",1
"9JVC-BJ5",1
"LBKD-DLW",1
"KNHZ-BKS",1
"9Q99-1SS",1
"LZP7-4MD",1
"LTWN-55N",1
"LHLW-GNY",1
"29M1-YXQ",1
"LV5Z-5JJ",1
"MCQW-52D",1
"MPY7-TFV",1
"LZTX-TXS",1
"LTLB-28N",1
"L5JF-K6Y",1
"LHJB-79B",1
"LCT8-QNC",1
"LYYR-DKX",1
"L691-VS5",1
"MZLW-B6H",1
"LYM9-4DT",1
"LW7N-TGB",1
"MKGN-36F",1
"2RBD-PSM",1
"LBBQ-GFK",1
"LCBW-SWD",1
"KNCK-1CY",1
"LHLH-MXK",1
"L6W5-C7D",1
"LZLZ-84K",1
"MMDM-J2Q",1
"LZCP-LLD",1
"LZLD-3L6",1
"LTYS-JQZ",1
"93FD-XVJ",1
"GKV2-DZB",1
"LTBT-WT8",1
"L78G-KDF",1
"KNCK-546",1
"L1WP-HSH",1
"LDYR-KNY",1
"L5NP-CRX",1
"LHTJ-MDY",1
"LZLW-TV9",1
"LZLS-915",1
"9W1T-VGG",1
"LZFW-HTM",1
"2SH6-PM4",1
"LVNN-6RY",1
"KGYZ-N8J",1
"KGYZ-NDY",1
"G66S-SCH",1
"G66S-3B4",1
"L7BR-K58",1
"L7BR-KBB",1
"KP7J-B8B",1
"KFL4-ZYS",1
"GDJM-FKB",1
"GDJM-NWS",1
"LVJL-486",1
"LVJL-4V9",1
"LH3G-8GQ",1
"LZWQ-4FR",1
"L4L5-1LV",1
"G9RF-Z93",1
"LK38-KF5",1
"KHMC-TD9",1
"KZVS-M8L",1
"G9TQ-2YP",1
"LY26-P7P",1
"LH56-JS6",1
"L51C-7Y5",1
